Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/ai/rag/upload/stream,11,0,97,97.74096367288043,79.29080002941191,122.6407999638468,0.0,0.025480818752397855,0.0,97,100,100,100,110,120,120,120,120,120,120
POST,/api/auth/login [setup],1,0,28.44100003130734,28.44100003130734,28.44100003130734,28.44100003130734,701.0,0.002316438068399805,0.0,28,28,28,28,28,28,28,28,28,28,28
GET,/api/auth/login-key [setup],1,0,95.06569989025593,95.06569989025593,95.06569989025593,95.06569989025593,478.0,0.002316438068399805,0.0,95,95,95,95,95,95,95,95,95,95,95
BUSINESS,RAG 上传 SSE 完整时间,11,0,33000,36471.515890869225,18901.22890007496,55332.01320004463,0.0,0.025480818752397855,0.0,33000,40000,45000,45000,52000,55000,55000,55000,55000,55000,55000
BUSINESS,RAG 上传 SSE 首事件时间,11,0,98,99.46714544296265,80.48989999294281,124.88460004329681,0.0,0.025480818752397855,0.0,98,100,110,110,110,120,120,120,120,120,120
BUSINESS,发起上传至图片解析完成总耗时,9,0,32000,34355.92284447617,18905.206700086594,52253.22909998894,0.0,0.020847942615598247,0.0,32000,33000,40000,45000,52000,52000,52000,52000,52000,52000,52000
BUSINESS,图片上传请求完成耗时,9,0,32000,34352.31284440888,18901.22890007496,52250.19339978695,0.0,0.020847942615598247,0.0,32000,33000,40000,45000,52000,52000,52000,52000,52000,52000,52000
BUSINESS,图片解析业务校验,9,0,32000,34355.92284447617,18905.206700086594,52253.22909998894,0.0,0.020847942615598247,0.0,32000,33000,40000,45000,52000,52000,52000,52000,52000,52000,52000
,Aggregated,62,0,27000,21468.65963709691,28.44100003130734,55332.01320004463,19.016129032258064,0.1436191602407879,0.0,27000,32000,33000,40000,45000,52000,52000,55000,55000,55000,55000
