Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/ai/rag/documents/{id}/image-enrichment,4,0,34,36.561874992912635,32.135199988260865,42.42750001139939,324.5,0.4234546696943399,0.0,38,38,42,42,42,42,42,42,42,42,42
POST,/api/ai/rag/markdown-upload/stream,2,0,14.444000087678432,21.108750079292804,14.444000087678432,27.773500070907176,0.0,0.21172733484716996,0.0,28,28,28,28,28,28,28,28,28,28,28
POST,/api/auth/login [setup],1,0,34.96159997303039,34.96159997303039,34.96159997303039,34.96159997303039,642.0,0.10586366742358498,0.0,35,35,35,35,35,35,35,35,35,35,35
GET,/api/auth/login-key [setup],1,0,100.10899999178946,100.10899999178946,100.10899999178946,100.10899999178946,478.0,0.10586366742358498,0.0,100,100,100,100,100,100,100,100,100,100,100
BUSINESS,RAG 上传 SSE 完整时间,2,0,820,2044.0425999164581,816.8866999149323,3271.198499917984,0.0,0.21172733484716996,0.0,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
BUSINESS,RAG 上传 SSE 首事件时间,2,0,21,27.221050024032593,20.654600024223328,33.78750002384186,0.0,0.21172733484716996,0.0,34,34,34,34,34,34,34,34,34,34,34
BUSINESS,图片增强业务校验 [c3],1,0,3173.639599919319,3173.639599919319,3173.639599919319,3173.639599919319,0.0,0.10586366742358498,0.0,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
BUSINESS,图片增强完整时间,1,0,3173.639599919319,3173.639599919319,3173.639599919319,3173.639599919319,0.0,0.10586366742358498,0.0,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
BUSINESS,图片正文入库时间 [c3],2,0,820,2044.0425999164581,816.8866999149323,3271.198499917984,0.0,0.21172733484716996,0.0,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300
BUSINESS,图片队列等待时间,1,0,1081.4800999164581,1081.4800999164581,1081.4800999164581,1081.4800999164581,0.0,0.10586366742358498,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
,Aggregated,17,0,42,940.1710235037676,14.444000087678432,3271.198499917984,142.23529411764707,1.7996823462009448,0.0,42,820,1100,3200,3300,3300,3300,3300,3300,3300,3300
